date,open,high,low,close,volume
2022-10-10,3806.56,3807.457,3715.714,3720.937,10264759500
2022-10-11,3732.019,3739.808,3706.063,3727.687,8394462500
2022-10-12,3722.866,3784.306,3661.526,3784.306,10808931900
2022-10-13,3756.418,3783.596,3749.639,3752.673,9901891500
2022-10-14,3783.316,3863.227,3780.842,3842.47,11624229300
2022-10-17,3822.243,3849.621,3809.12,3846.412,10419201900
2022-10-18,3865.826,3870.216,3831.172,3838.267,8834690700
2022-10-19,3827.466,3840.487,3776.534,3776.534,8157484400
2022-10-20,3746.579,3804.247,3726.793,3754.927,9029089500
2022-10-21,3753.89,3768.69,3724.69,3742.893,9875003800
2022-10-24,3727.915,3762.158,3619.988,3633.373,13005686400
2022-10-25,3621.936,3670.733,3594.701,3627.454,11095388200
2022-10-26,3633.311,3700.88,3633.311,3656.903,12130154800
2022-10-27,3667.665,3685.084,3631.064,3631.145,11799867500
2022-10-28,3605.16,3618.864,3533.499,3541.33,11877216200
2022-10-31,3504.507,3553.387,3495.951,3508.703,13846565500
2022-11-01,3519.817,3634.173,3517.621,3634.173,14928669800
2022-11-02,3620.369,3703.465,3610.803,3677.805,14159291900
2022-11-03,3645.06,3670.157,3628.499,3647.897,11056603500
2022-11-04,3646.771,3782.882,3646.771,3767.175,14973494900
2022-11-07,3754.523,3792.794,3746.372,3775.297,12982637100
2022-11-08,3773.661,3779.116,3723.342,3749.325,9901645100
2022-11-09,3750.782,3760.407,3711.268,3714.27,8943452500
2022-11-10,3685.827,3701.531,3665.059,3685.689,10350930200
2022-11-11,3787.757,3828.9,3747.09,3788.439,18968558600
2022-11-14,3818.145,3848.412,3781.778,3794.017,16966504800
2022-11-15,3788.926,3871.642,3775.499,3865.973,15151565000
2022-11-16,3860.811,3877.678,3829.313,3834.39,12061096400
2022-11-17,3821.271,3821.742,3776.574,3818.664,10594063200
2022-11-18,3823.821,3840.302,3801.569,3801.569,11507877700
2022-11-21,3769.627,3769.873,3733.995,3769.127,9586696600
2022-11-22,3766.082,3809.858,3751.045,3769.573,14448633400
2022-11-23,3760.216,3791.178,3753.214,3773.529,14452791100
2022-11-24,3791.54,3804.899,3751.382,3756.808,10107344700
2022-11-25,3751.282,3790.566,3743.414,3775.776,14292971100
2022-11-28,3701.902,3736.081,3672.131,3733.242,12782574800
2022-11-29,3766.57,3854.774,3766.57,3848.422,17870139200
